id,case_id,author_officer_id,note_text,created_at
IN000001,CS000001,OF000008,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-11-15T10:23:03Z
IN000002,CS000002,OF000004,Reviewed CDR batch for CASE-0002; repeated contact between prime accused and an unlisted number flagged for follow-up.,2026-01-08T09:06:04Z
IN000003,CS000002,OF000002,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-01-29T09:06:04Z
IN000004,CS000003,OF000001,Reviewed CDR batch for CASE-0003; repeated contact between prime accused and an unlisted number flagged for follow-up.,2025-08-12T18:14:31Z
IN000005,CS000003,OF000004,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2025-08-08T18:14:31Z
IN000006,CS000003,OF000008,Interview with complainant recorded; statement consistent with the FIR narrative.,2025-09-23T18:14:31Z
IN000007,CS000004,OF000005,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-09-29T08:03:34Z
IN000008,CS000004,OF000006,Interview with complainant recorded; statement consistent with the FIR narrative.,2024-11-02T08:03:34Z
IN000009,CS000004,OF000007,Interview with complainant recorded; statement consistent with the FIR narrative.,2024-10-05T08:03:34Z
IN000010,CS000005,OF000006,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-12-16T20:41:01Z
IN000011,CS000005,OF000006,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2025-01-19T20:41:01Z
IN000012,CS000006,OF000006,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-11-10T09:23:35Z
IN000013,CS000007,OF000007,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2025-08-08T16:40:35Z
IN000014,CS000007,OF000007,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2025-08-04T16:40:35Z
IN000015,CS000007,OF000006,Financial forensics traced layered transfers originating from the accounts named in this case.,2025-08-19T16:40:35Z
IN000016,CS000008,OF000002,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-08-22T04:25:44Z
IN000017,CS000008,OF000004,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-08-11T04:25:44Z
IN000018,CS000009,OF000008,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2024-03-26T06:06:31Z
IN000019,CS000009,OF000002,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2024-04-09T06:06:31Z
IN000020,CS000009,OF000007,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2024-03-16T06:06:31Z
IN000021,CS000010,OF000004,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-08-19T02:49:53Z
IN000022,CS000010,OF000008,Reviewed CDR batch for CASE-0010; repeated contact between prime accused and an unlisted number flagged for follow-up.,2026-10-08T02:49:53Z
IN000023,CS000010,OF000003,Reviewed CDR batch for CASE-0010; repeated contact between prime accused and an unlisted number flagged for follow-up.,2026-09-04T02:49:53Z
IN000024,CS000011,OF000003,Reviewed CDR batch for CASE-0011; repeated contact between prime accused and an unlisted number flagged for follow-up.,2026-04-25T20:05:48Z
IN000025,CS000011,OF000008,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-05-05T20:05:48Z
IN000026,CS000012,OF000007,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-02-18T23:28:34Z
IN000027,CS000013,OF000001,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2024-08-24T22:28:43Z
IN000028,CS000013,OF000005,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2024-09-19T22:28:43Z
IN000029,CS000014,OF000007,Cross-verified ANPR trail with toll plaza logs; corridor timing matches witness account.,2024-07-27T19:17:02Z
IN000030,CS000014,OF000003,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2024-06-08T19:17:02Z
IN000031,CS000015,OF000003,Cross-verified ANPR trail with toll plaza logs; corridor timing matches witness account.,2025-02-05T10:18:31Z
IN000032,CS000015,OF000006,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2025-03-26T10:18:31Z
IN000033,CS000016,OF000007,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-09-15T03:29:14Z
IN000034,CS000017,OF000007,Reviewed CDR batch for CASE-0017; repeated contact between prime accused and an unlisted number flagged for follow-up.,2024-11-24T19:21:38Z
IN000035,CS000017,OF000007,Reviewed CDR batch for CASE-0017; repeated contact between prime accused and an unlisted number flagged for follow-up.,2024-11-24T19:21:38Z
IN000036,CS000018,OF000005,Financial forensics traced layered transfers originating from the accounts named in this case.,2026-04-11T19:47:56Z
IN000037,CS000018,OF000004,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-04-23T19:47:56Z
IN000038,CS000019,OF000008,Cross-verified ANPR trail with toll plaza logs; corridor timing matches witness account.,2025-08-15T04:26:24Z
IN000039,CS000019,OF000005,Financial forensics traced layered transfers originating from the accounts named in this case.,2025-07-26T04:26:24Z
IN000040,CS000019,OF000001,Interview with complainant recorded; statement consistent with the FIR narrative.,2025-07-31T04:26:24Z
IN000041,CS000020,OF000008,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-01-07T21:36:35Z
IN000042,CS000020,OF000007,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2025-12-31T21:36:35Z
IN000043,CS000021,OF000008,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-04-20T19:32:41Z
IN000044,CS000022,OF000005,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2024-09-11T18:41:53Z
IN000045,CS000022,OF000006,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-07-25T18:41:53Z
IN000046,CS000023,OF000004,Interview with complainant recorded; statement consistent with the FIR narrative.,2025-05-13T23:13:57Z
IN000047,CS000024,OF000003,Reviewed CDR batch for CASE-0024; repeated contact between prime accused and an unlisted number flagged for follow-up.,2024-02-19T17:54:12Z
IN000048,CS000024,OF000003,Interview with complainant recorded; statement consistent with the FIR narrative.,2024-02-18T17:54:12Z
IN000049,CS000025,OF000007,Reviewed CDR batch for CASE-0025; repeated contact between prime accused and an unlisted number flagged for follow-up.,2025-07-06T11:35:52Z
IN000050,CS000025,OF000008,Financial forensics traced layered transfers originating from the accounts named in this case.,2025-08-08T11:35:52Z
IN000051,CS000026,OF000001,Reviewed CDR batch for CASE-0026; repeated contact between prime accused and an unlisted number flagged for follow-up.,2024-11-17T20:49:52Z
IN000052,CS000027,OF000003,Reviewed CDR batch for CASE-0027; repeated contact between prime accused and an unlisted number flagged for follow-up.,2025-02-25T16:30:00Z
IN000053,CS000027,OF000005,Financial forensics traced layered transfers originating from the accounts named in this case.,2025-04-03T16:30:00Z
IN000054,CS000028,OF000005,Interview with complainant recorded; statement consistent with the FIR narrative.,2026-04-14T03:40:50Z
IN000055,CS000028,OF000002,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2026-03-12T03:40:50Z
IN000056,CS000028,OF000004,Financial forensics traced layered transfers originating from the accounts named in this case.,2026-04-01T03:40:50Z
IN000057,CS000029,OF000003,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2024-10-07T16:05:38Z
IN000058,CS000029,OF000002,Interview with complainant recorded; statement consistent with the FIR narrative.,2024-10-20T16:05:38Z
IN000059,CS000030,OF000008,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2026-04-21T06:13:12Z
IN000060,CS000031,OF000003,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2026-08-15T04:56:20Z
IN000061,CS000032,OF000005,Cross-verified ANPR trail with toll plaza logs; corridor timing matches witness account.,2026-06-19T04:05:40Z
IN000062,CS000033,OF000006,Cross-verified ANPR trail with toll plaza logs; corridor timing matches witness account.,2024-11-21T20:54:19Z
IN000063,CS000034,OF000003,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2024-11-30T13:54:19Z
IN000064,CS000034,OF000004,Financial forensics traced layered transfers originating from the accounts named in this case.,2024-11-30T13:54:19Z
IN000065,CS000035,OF000005,Reviewed CDR batch for CASE-0035; repeated contact between prime accused and an unlisted number flagged for follow-up.,2024-05-16T06:06:52Z
IN000066,CS000035,OF000001,Interview with complainant recorded; statement consistent with the FIR narrative.,2024-05-05T06:06:52Z
IN000067,CS000036,OF000008,Interview with complainant recorded; statement consistent with the FIR narrative.,2025-05-10T02:41:28Z
IN000068,CS000036,OF000005,Interim progress note: awaiting forensic analysis results from the digital extraction unit.,2025-05-27T02:41:28Z
IN000069,CS000037,OF000003,Surveillance team confirmed subject movements near the corridor on the night of the incident.,2025-10-31T13:44:16Z
