id,evidence_type,source_record_id,description,storage_path,confidence,data_source,created_at
EV000001,CDR,CDR-P00035-6986,Call detail: Amaira Chana to 8638857793,/secure_vault/synthetic/cdr/ev-40516.enc,0.9,SYNTHETIC,2024-02-04T13:31:08Z
EV000002,SURVEILLANCE,REG-PH000001,Subscriber identity registration for 8638857793,/secure_vault/synthetic/surveillance/ev-37766.enc,0.9,SYNTHETIC,2024-02-29T02:05:06Z
EV000003,SURVEILLANCE,ANPR-VH000001,ANPR capture of TN46 EL 7653 near Cobra Syndicate corridor,/secure_vault/synthetic/surveillance/ev-30539.enc,0.9,SYNTHETIC,2024-06-12T22:29:04Z
EV000004,SURVEILLANCE,CCTV-VH000001,CCTV frames of TN46 EL 7653 with Tanveer Dhillon at wheel,/secure_vault/synthetic/surveillance/ev-69980.enc,0.9,SYNTHETIC,2026-07-06T14:11:21Z
EV000005,FINANCIAL,RTGS-AC000001,RTGS beneficiary instruction from Tanveer Dhillon account,/secure_vault/synthetic/financial/ev-22447.enc,0.9,SYNTHETIC,2025-12-27T01:56:54Z
EV000006,FINANCIAL,KYC-AC000001,KYC ownership of XXXX3525,/secure_vault/synthetic/financial/ev-40555.enc,0.9,SYNTHETIC,2026-04-15T15:51:54Z
EV000008,FIR,DOC-EV000007,Custody records placing Ishita Sarna in Cobra Syndicate,/secure_vault/synthetic/fir/ev-33563.enc,0.9,SYNTHETIC,2025-09-18T01:11:02Z
EV000009,CDR,CDR-P00028-1843,Call detail: Tamanna Misra to 9043622500,/secure_vault/synthetic/cdr/ev-74558.enc,0.9,SYNTHETIC,2024-08-18T18:16:29Z
EV000010,SURVEILLANCE,REG-PH000026,Subscriber identity registration for 9043622500,/secure_vault/synthetic/surveillance/ev-85470.enc,0.9,SYNTHETIC,2025-07-22T15:40:36Z
EV000011,SURVEILLANCE,ANPR-VH000012,ANPR capture of TN23 BT 6416 near Silver Line Network corridor,/secure_vault/synthetic/surveillance/ev-40916.enc,0.9,SYNTHETIC,2026-06-13T09:07:28Z
EV000012,SURVEILLANCE,CCTV-VH000012,CCTV frames of TN23 BT 6416 with Oviya Tripathi at wheel,/secure_vault/synthetic/surveillance/ev-77908.enc,0.9,SYNTHETIC,2024-05-03T16:34:05Z
EV000014,FIR,DOC-EV000013,Scene-of-crime document naming Oviya Tripathi,/secure_vault/synthetic/fir/ev-30037.enc,0.9,SYNTHETIC,2026-03-15T06:56:13Z
EV000015,CDR,CDR-P00024-1493,Call detail: Diya D’Alia to 8125903797,/secure_vault/synthetic/cdr/ev-81150.enc,0.9,SYNTHETIC,2025-11-26T09:22:58Z
EV000016,SURVEILLANCE,REG-PH000042,Subscriber identity registration for 8125903797,/secure_vault/synthetic/surveillance/ev-94329.enc,0.9,SYNTHETIC,2024-10-01T18:52:20Z
